code_metier,code_competence,poids,niveau_requis,est_actif,date_creation,date_mise_a_jour
OP011,COMP548,2.0,4.0,true,2025-09-03 13:57:45,2025-09-11 08:47:01
OP011,COMP566,2.0,4.0,true,2025-09-03 13:57:45,2025-09-11 08:47:04
OP011,COMP568,2.0,4.0,true,2025-09-03 13:57:46,2025-09-11 08:47:08
OP011,COMP58,2.0,3.0,true,2026-02-25 05:15:41,2026-02-25 05:16:17
OP011,COMP581,2.0,4.0,true,2025-09-03 13:57:46,2025-09-11 08:47:20
OP011,COMP582,2.0,3.0,true,2025-09-03 13:57:46,2025-09-11 08:47:31
OP011,COMP583,2.0,4.0,true,2025-09-03 13:57:46,2025-09-11 08:47:39
OP011,COMP588,2.0,3.0,true,2025-09-03 13:57:46,2025-09-11 08:47:12
OP011,COMP589,2.0,2.0,true,2025-09-03 13:57:46,2025-09-11 08:47:16
OP011,COMP591,2.0,4.0,true,2025-09-03 13:57:46,2025-09-11 08:47:24
OP011,COMP593,2.0,4.0,true,2025-09-03 13:57:46,2025-09-11 08:47:35
OP011,COMP595,2.0,2.0,true,2025-09-03 13:57:46,2025-09-11 08:47:27
OP011,COMP598,2.0,4.0,true,2025-09-03 13:57:46,2025-09-11 08:47:43
OP012,COMP121,2.0,3.0,true,2025-09-03 13:57:01,2025-09-11 08:06:12
OP012,COMP29,2.0,3.0,true,2025-09-03 13:57:01,2025-09-11 08:05:56
OP012,COMP464,2.0,3.0,true,2025-09-03 13:57:01,2025-09-11 08:06:22
OP012,COMP474,2.0,2.0,true,2025-09-03 13:57:01,2025-09-11 08:06:27
OP012,COMP480,2.0,2.0,true,2025-09-03 13:57:01,2025-09-11 08:06:32
OP012,COMP516,2.0,3.0,true,2025-09-03 13:57:01,2025-09-11 08:06:38
OP012,COMP535,2.0,3.0,true,2025-09-03 13:57:01,2025-09-11 08:06:43
OP012,COMP569,2.0,3.0,true,2025-09-03 13:57:02,2025-09-11 08:06:48
OP012,COMP573,2.0,3.0,true,2025-09-03 13:57:02,2025-09-11 08:06:54
OP012,COMP576,2.0,2.0,true,2025-09-03 13:57:02,2025-09-11 08:06:59
OP012,COMP581,2.0,3.0,true,2025-09-03 13:57:02,2025-09-11 08:07:04
OP012,COMP586,2.0,3.0,true,2025-09-03 13:57:02,2025-09-11 08:07:09
OP012,COMP588,2.0,2.0,true,2025-09-03 13:57:02,2025-09-11 08:07:25
OP012,COMP591,2.0,4.0,true,2025-09-03 13:57:02,2025-09-11 08:07:15
OP012,COMP599,2.0,3.0,true,2025-09-03 13:57:02,2025-09-11 08:07:19
