code_competence,nom_competence,id_categorie_detention,date_mise_a_jour
COMP228,Techniques d'animations commerciales et coaching,moderately_held,2026-02-25 04:46:51
COMP36,Procédures administratives de la collectivité.,poorly_held,2025-09-03 13:38:01
COMP574,"Valider une solution, une information",poorly_held,2025-09-03 13:38:45
COMP7,"Conception et développement dans les environnements / langages / BDD suivants** : o Angular, Springboot, Ionic, Bootstrap, Jhipster, ELK, o Linux / Windows o JAVA, typescript/javascript, HTML, XML, CSS, Powershell o PostgreSQL, Oracle",poorly_held,2025-09-03 13:38:01
COMP195,"Rédiger un cahier des charges, un programme d'opération, choisir un concepteur",poorly_held,2025-09-03 13:38:09
COMP415,Ressources humaines,poorly_held,2025-10-23 07:34:15
COMP131,Connaissance de la culture marketing,poorly_held,2026-02-04 01:30:42
COMP311,"Connaissance des matériels et des constructeurs, de l'état de l'art des technologies et des équipements dans son domaine",poorly_held,2025-09-03 13:38:17
COMP592,Faire preuve de leadership,well_held,2025-09-03 13:38:48
COMP310,Connaissance des protocoles et architectures de réseaux.,poorly_held,2025-09-03 13:38:17
COMP359,Santé/Social,poorly_held,2025-09-03 13:38:21
COMP429,"Maitriser les systèmes d'exploitation Windows, Unix, Linux et les outils bureautiques",moderately_held,2025-09-03 13:38:28
COMP578,Esprit d'initiative,well_held,2025-11-25 03:55:14
COMP213,Techniques du controle interne et maitrise des risques,poorly_held,2025-09-03 13:38:10
COMP571,Travailler en partenariat,well_held,2025-09-03 13:38:45
COMP536,Mobiliser,poorly_held,2025-09-03 13:38:41
COMP375,Connaissances du domaine concerné,poorly_held,2025-09-03 13:38:23
COMP215,Analyse et évaluation des risques,poorly_held,2025-09-03 13:38:10
COMP518,Gérer les relations medias,well_held,2025-09-03 13:38:38
COMP572,Travailler en réseau,well_held,2025-09-03 13:38:45
COMP145,"Matériel télécom, postal et services OPT",poorly_held,2025-09-03 13:38:06
COMP516,"Gérer des flux, des stocks",well_held,2025-09-03 13:38:38
COMP420,Connaissance de la cybersécurité et RGPD,poorly_held,2025-09-03 13:38:27
COMP606,"Courage managérial - Capacité à affronter des situations difficiles, à prendre des décisions impopulaires si nécessaire, tout en restant aligné avec les valeurs et les objectifs de l'entreprise._x000D_",moderately_held,2025-09-03 13:38:50
COMP172,Connaissance des logiciels et systèmes d'information liés aux activités confiées,moderately_held,2026-02-26 22:38:40
COMP144,Connaissance des SI,poorly_held,2025-09-03 13:38:05
COMP498,Dialoguer avec les représentants du personnel,poorly_held,2025-09-03 13:38:36
COMP210,Outils de communication,well_held,2025-10-24 04:50:37
COMP500,"Diriger une structure, un service",poorly_held,2025-09-03 13:38:36
COMP32,Flore.,poorly_held,2025-09-03 13:38:01
COMP573,"Utiliser un système, un matériel",well_held,2025-09-03 13:38:45
COMP257,"Maitrise des progiciels : Plateforme ArcGIS (Pro, Desktop, Entreprise, Online et Mobile), MS 365",poorly_held,2025-09-03 13:38:13
COMP532,Mener une veille,moderately_held,2025-09-03 13:38:40
COMP3,Méthode d'achat et d'approvisionnement et de gestion de stock.,poorly_held,2025-09-03 13:38:01
COMP445,Maîtrise du management des projets et de la planification des projets (MS Project Server),poorly_held,2025-09-03 13:38:30
COMP593,Sens de la pédagogie,well_held,2025-09-03 13:38:48
COMP515,Former,well_held,2025-09-03 13:38:38
COMP209,Outils bureautiques (notamment tableurs et bases de données),poorly_held,2025-09-03 13:38:09
COMP74,Techniques d'accueil,moderately_held,2025-09-03 13:38:02
COMP151,Connaissance en gestion budgétaire et comptable,moderately_held,2025-09-03 13:38:06
COMP147,Procédures douanières,poorly_held,2025-09-03 13:38:06
COMP613,Connaissance des intervenants et sous-traitants relevant de son domaine d'expertise,poorly_held,2026-02-04 22:15:57
COMP321,Elaboration des phases de tests et recettes,poorly_held,2025-09-03 13:38:18
COMP358,Fonctionnement de la collectivité et statuts de la fonction publique,poorly_held,2025-09-03 13:38:21
COMP387,Connaissance des problématiques d'urbanisation des SI.,poorly_held,2025-09-03 13:38:24
COMP511,Expliquer,poorly_held,2025-09-03 13:38:37
COMP129,"Techniques de modélisations statistiques (tris croisés, typologies, scoring...).",poorly_held,2026-03-29 23:02:11
COMP603,"Professionnalisme - Respect des règles, des standards et des comportements attendus, tout en faisant preuve d'exemplarité et d'intégrité dans ses actions.",moderately_held,2025-09-03 13:38:49
COMP149,Connaissances de la réglementation de la formation profesionnelle continue,poorly_held,2025-09-03 13:38:06
COMP155,Réglementation postale,moderately_held,2025-09-03 13:38:06
COMP194,"Porter un diagnostic sur le patrimoine bâti, apporter au maître d'ouvrage des arguments techniques d'aide à la décision, informer des contraintes techniques inhérentes à certains choix",poorly_held,2025-09-03 13:38:08
