code_competence,nom_competence,id_categorie_detention,date_mise_a_jour
COMP98,Techniques de gestes et postures,moderately_held,2025-09-03 13:38:03
COMP86,Connaissance de l'environnement des médias supports et leurs spécificités,poorly_held,2025-09-03 13:38:03
COMP562,Sélectionner,well_held,2025-09-03 13:38:44
COMP367,"Procédures administratives et règles internes de commande de l'OPT-NC,",poorly_held,2025-09-03 13:38:22
COMP460,"Animer un réseau, une communauté",poorly_held,2025-09-03 13:38:32
COMP548,Prioriser,well_held,2025-12-02 00:46:45
COMP607,Connaissance d'ingénierie dédiée au domaine particulier,poorly_held,2026-02-04 22:20:20
COMP461,"Animer un groupe, une équipe",moderately_held,2025-09-03 13:38:32
COMP426,Connaissance technique des produits et services télécoms et des SI,moderately_held,2025-09-03 13:38:28
COMP583,Sens de l'analyse,well_held,2025-09-03 13:38:47
COMP93,"Connaissance de la règlementation et des procédures postales, financières et télécoms.",well_held,2025-09-03 13:38:03
COMP497,Dialoguer,poorly_held,2025-09-03 13:38:36
COMP522,"Gérer une situation de crise, d'urgence ou dangereuse",moderately_held,2025-09-03 13:38:39
COMP127,Techniques d'animation,poorly_held,2026-03-17 05:23:27
COMP78,"Contrôle, audit et évaluation",moderately_held,2025-09-03 13:38:03
COMP288,"Maîtriser l'utilisation du système d'information (OTRS, GLPI, Patrimoine immobilier)",poorly_held,2025-09-03 13:38:15
COMP259,Maitrise dans l'administration de base de données,poorly_held,2025-09-03 13:38:13
COMP22,"Architectures applicatives et processus de développement (DevOps) Langages Shell, Python Commandes SQL de base Processus ITIL V3 fondamentaux",poorly_held,2025-09-03 13:38:01
COMP489,Coopérer,moderately_held,2025-09-03 13:38:35
COMP20,Ordonnanceur $Universe,poorly_held,2025-09-03 13:38:01
COMP527,Maîtriser les délais,well_held,2025-09-03 13:38:39
COMP69,Connaissance de méthodes et principaux référentiels de gestion de services IT,poorly_held,2025-09-03 13:38:02
COMP191,Risques liés aux constructions,poorly_held,2025-09-03 13:38:08
COMP596,Réactivité,well_held,2026-03-18 03:27:50
COMP114,"Offre, réglementation et procédures liées aux produits et services commercialisés par l'OPT",poorly_held,2025-09-03 13:38:04
COMP360,Techniques de rédaction,poorly_held,2025-09-03 13:38:21
COMP506,Emettre un avis,poorly_held,2025-09-03 13:38:37
COMP186,"Connaissance approfondie des architectures logicielles (N-Tiers, SOA, WOA, microservices...)",poorly_held,2025-09-03 13:38:08
COMP541,Piloter la performance,well_held,2025-09-03 13:38:41
COMP585,Aisance relationnelle,well_held,2025-12-18 02:16:28
COMP313,Connaissance des processus de l'entreprise applicables aux projets de construction et d'évolution de sites de télécommunications.,poorly_held,2025-09-03 13:38:17
COMP99,Quartiers et secteurs géographiques,moderately_held,2025-09-03 13:38:03
COMP591,Faire preuve de discrétion,well_held,2025-09-03 13:38:48
COMP474,Communiquer,well_held,2025-09-03 13:38:33
COMP505,"Elaborer une stratégie, une politique",poorly_held,2025-09-03 13:38:37
COMP56,Connaissance des technologies associées aux réseaux et aux équipements.,poorly_held,2025-09-03 13:38:02
COMP294,Réglementations et normes en matière de sécurité des bâtiments,poorly_held,2025-09-03 13:38:16
COMP85,Connaissances des nouvelles technologies de l'information et de la communication (NTIC),poorly_held,2025-09-03 13:38:03
